song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,audio_features,3sa06xVNmLLYIxdNNmVQN8,spotify:track:3sa06xVNmLLYIxdNNmVQN8,https://api.spotify.com/v1/tracks/3sa06xVNmLLYIxdNNmVQN8,https://api.spotify.com/v1/audio-analysis/3sa06xVNmLLYIxdNNmVQN8,177689,4,happy
Heaven Takes You Home (feat. Connie Constance),"Swedish House Mafia, Connie Constance",0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,audio_features,3nEHrvNNtgLv9rneTAYVr4,spotify:track:3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/tracks/3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/audio-analysis/3nEHrvNNtgLv9rneTAYVr4,214071,4,happy
Weekends,"Jonas Blue, Felix Jaehn",0.571,0.937,6,-3.365,1,0.033,0.0337,3.71e-05,0.212,0.607,148.979,audio_features,3JlHRjPt2TNB9h7VFf0im2,spotify:track:3JlHRjPt2TNB9h7VFf0im2,https://api.spotify.com/v1/tracks/3JlHRjPt2TNB9h7VFf0im2,https://api.spotify.com/v1/audio-analysis/3JlHRjPt2TNB9h7VFf0im2,127004,4,happy
Baby Girl,Disco Lines,0.73,0.907,2,-3.72,1,0.0606,0.0921,0.114,0.23,0.249,120.968,audio_features,2cSdAkzAf2T4j4aLvx4LLz,spotify:track:2cSdAkzAf2T4j4aLvx4LLz,https://api.spotify.com/v1/tracks/2cSdAkzAf2T4j4aLvx4LLz,https://api.spotify.com/v1/audio-analysis/2cSdAkzAf2T4j4aLvx4LLz,111074,4,happy
By Your Side (feat. Tom Grennan),"Calvin Harris, Tom Grennan",0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,audio_features,0vR2rIVORmgeKiGIgNT0fV,spotify:track:0vR2rIVORmgeKiGIgNT0fV,https://api.spotify.com/v1/tracks/0vR2rIVORmgeKiGIgNT0fV,https://api.spotify.com/v1/audio-analysis/0vR2rIVORmgeKiGIgNT0fV,189672,4,happy
I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),"Oliver Heldens, Nile Rodgers, House Gospel Choir",0.686,0.892,10,-3.186,0,0.0498,0.0577,7.11e-06,0.0838,0.752,126.03,audio_features,2LxdNADWier3MKTei8FbOY,spotify:track:2LxdNADWier3MKTei8FbOY,https://api.spotify.com/v1/tracks/2LxdNADWier3MKTei8FbOY,https://api.spotify.com/v1/audio-analysis/2LxdNADWier3MKTei8FbOY,157206,4,happy
All For Love,"Felix Jaehn, Sandro Cavazza",0.573,0.736,11,-6.882,1,0.0435,0.0616,0.0,0.508,0.185,126.014,audio_features,3ec1mgb7R6yhRvzp3DaTus,spotify:track:3ec1mgb7R6yhRvzp3DaTus,https://api.spotify.com/v1/tracks/3ec1mgb7R6yhRvzp3DaTus,https://api.spotify.com/v1/audio-analysis/3ec1mgb7R6yhRvzp3DaTus,166667,4,happy
Woke Up in Love,"Kygo, Gryffin, Calum Scott",0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,audio_features,21H0pUV2uPIPcFnFhgTBjo,spotify:track:21H0pUV2uPIPcFnFhgTBjo,https://api.spotify.com/v1/tracks/21H0pUV2uPIPcFnFhgTBjo,https://api.spotify.com/v1/audio-analysis/21H0pUV2uPIPcFnFhgTBjo,216873,4,happy
Endless Summer,"Alan Walker, Zak Abel",0.588,0.804,6,-5.594,1,0.0428,0.00265,0.0,0.0708,0.381,124.055,audio_features,2DVvsgWrZ4rUjupdRGYEXK,spotify:track:2DVvsgWrZ4rUjupdRGYEXK,https://api.spotify.com/v1/tracks/2DVvsgWrZ4rUjupdRGYEXK,https://api.spotify.com/v1/audio-analysis/2DVvsgWrZ4rUjupdRGYEXK,187041,4,happy
Young Right Now,"Robin Schulz, Dennis Lloyd",0.539,0.708,5,-6.189,1,0.0976,0.0129,0.0,0.14,0.381,123.039,audio_features,0JpEMzTHbt2zBIXrntrXzG,spotify:track:0JpEMzTHbt2zBIXrntrXzG,https://api.spotify.com/v1/tracks/0JpEMzTHbt2zBIXrntrXzG,https://api.spotify.com/v1/audio-analysis/0JpEMzTHbt2zBIXrntrXzG,186141,4,happy
